Year_Month,Card Type,Travel_Mode,Trip
Feb-23,Adult,Bus,6556480
Jan-23,Employee,Bus,53044
Dec-22,Child/Youth,Bus,779633
Dec-22,Adult,Bus,6005060
Nov-22,Free Travel,Bus,29299
Jun-22,Employee,Bus,55746
Dec-21,Adult Single Bus Trip 1,Bus,124
Mar-21,Employee,Bus,62780
Jul-20,Child/Youth,Bus,863848
Mar-20,Adult,Bus,9373131
Feb-20,Free Travel,Bus,39465
Oct-19,Adult Single Bus Trip 1,Bus,68763
Sep-19,Child/Youth Single Bus Trip 3,Bus,3586
Feb-19,Adult Single Bus Trip 2,Bus,54290
Mar-18,Adult Single Bus Trip 1,Bus,149812
Oct-17,Adult Single Bus Trip 1,Bus,154191
Sep-16,Child/Youth Single Bus Trip 3,Bus,14739
Sep-24,CTP,Bus,7093100
Jul-22,Concession,Bus,619503
Jan-22,Free Travel,Bus,16557
May-21,School Student,Bus,1849310
Nov-19,Senior/Pensioner,Bus,4444174
Nov-19,Adult Single Bus Trip 1,Bus,52753
Feb-19,Child/Youth Single Bus Trip 3,Bus,4340
Feb-17,Free Travel,Bus,33326
Oct-16,Adult Single Bus Trip 2,Bus,120313
May-22,Free Travel,Bus,25184
Apr-22,Senior/Pensioner,Bus,2488231
Feb-22,School Student,Bus,1483705
Mar-21,Concession,Bus,1076821
Mar-21,School Student,Bus,2153901
Aug-19,Free Travel,Bus,42665
Mar-19,Child/Youth,Bus,1388228
Nov-18,Day Pass without SAF,Bus,489
Apr-17,Free Travel,Bus,33012
Jun-24,CTP,Bus,6392070
Mar-24,Adult,Bus,7313069
Sep-23,Adult,Bus,7210065
Aug-23,Senior/Pensioner,Bus,3327349
Jul-23,Concession,Bus,704268
Feb-23,Free Travel,Bus,27684
Oct-22,CTP,Bus,4854953
May-22,Child/Youth,Bus,550795
Jun-21,Adult,Bus,5480610
Jun-21,CTP,Bus,2814237
Mar-20,CTP,Bus,2271222
Dec-19,Adult Single Bus Trip 1,Bus,51990
Jun-19,Adult Single Bus Trip 3,Bus,13191
Oct-22,Free Travel,Bus,26586
Jun-22,Free Travel,Bus,25494
Aug-21,Employee,Bus,17777
Dec-19,Adult Single Bus Trip 3,Bus,7586
Jul-19,Concession,Bus,1578007
Sep-18,Concession,Bus,1761178
Mar-18,Concession,Bus,2271925
Feb-18,Child/Youth Single Bus Trip 2,Bus,19424
Feb-17,Adult Single Bus Trip 3,Bus,39559
Dec-16,Senior/Pensioner,Bus,4022430
Feb-18,Child/Youth Single Bus Trip 1,Bus,28631
Jan-20,Employee,Bus,86718
Nov-19,Child/Youth Single Bus Trip 3,Bus,2881
Jan-19,Senior/Pensioner,Bus,3970989
Oct-18,Child/Youth Single Bus Trip 1,Bus,34527
Jan-17,Child/Youth Single Bus Trip 3,Bus,18050
