Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,068246,2002,02,327.0,Y
IDCJAC0001,068246,2002,03,91.4,Y
IDCJAC0001,068246,2002,04,50.6,Y
IDCJAC0001,068246,2002,05,46.2,Y
IDCJAC0001,068246,2002,06,22.2,Y
IDCJAC0001,068246,2002,07,44.2,Y
IDCJAC0001,068246,2002,09,12.6,Y
IDCJAC0001,068246,2002,10,0.6,Y
IDCJAC0001,068246,2002,11,11.2,Y
IDCJAC0001,068246,2002,12,87.0,Y
IDCJAC0001,068246,2003,01,61.8,Y
IDCJAC0001,068246,2003,02,105.6,Y
IDCJAC0001,068246,2003,04,156.0,Y
IDCJAC0001,068246,2003,05,470.0,Y
IDCJAC0001,068246,2003,07,19.0,Y
IDCJAC0001,068246,2003,08,29.6,Y
IDCJAC0001,068246,2003,09,9.4,Y
IDCJAC0001,068246,2003,10,59.2,Y
IDCJAC0001,068246,2003,11,123.8,Y
IDCJAC0001,068246,2003,12,44.0,Y
IDCJAC0001,068246,2004,01,64.9,Y
IDCJAC0001,068246,2004,03,89.0,Y
IDCJAC0001,068246,2004,04,183.6,Y
IDCJAC0001,068246,2004,05,76.0,Y
IDCJAC0001,068246,2004,06,37.8,Y
IDCJAC0001,068246,2004,07,54.2,Y
IDCJAC0001,068246,2004,08,23.0,Y
IDCJAC0001,068246,2004,09,45.4,Y
IDCJAC0001,068246,2004,10,245.4,Y
IDCJAC0001,068246,2004,11,126.8,Y
IDCJAC0001,068246,2004,12,80.0,Y
IDCJAC0001,068246,2005,01,91.2,Y
IDCJAC0001,068246,2005,02,143.6,Y
IDCJAC0001,068246,2005,03,96.8,Y
IDCJAC0001,068246,2005,04,26.8,Y
IDCJAC0001,068246,2005,05,50.6,Y
IDCJAC0001,068246,2005,06,63.6,Y
IDCJAC0001,068246,2005,07,144.2,Y
IDCJAC0001,068246,2005,08,4.6,Y
IDCJAC0001,068246,2005,10,67.2,Y
IDCJAC0001,068246,2005,11,154.6,Y
IDCJAC0001,068246,2005,12,43.0,Y
IDCJAC0001,068246,2006,01,111.4,Y
IDCJAC0001,068246,2006,02,89.4,Y
IDCJAC0001,068246,2006,03,26.8,Y
IDCJAC0001,068246,2006,04,9.2,Y
IDCJAC0001,068246,2006,05,55.2,Y
IDCJAC0001,068246,2006,06,96.4,Y
IDCJAC0001,068246,2006,07,92.4,Y
IDCJAC0001,068246,2006,08,45.4,Y
IDCJAC0001,068246,2006,09,118.4,Y
IDCJAC0001,068246,2006,10,3.8,Y
IDCJAC0001,068246,2006,11,33.8,Y
IDCJAC0001,068246,2006,12,74.6,Y
IDCJAC0001,068246,2007,01,14.4,Y
IDCJAC0001,068246,2007,02,195.6,Y
IDCJAC0001,068246,2007,03,87.8,Y
IDCJAC0001,068246,2007,04,160.8,Y
IDCJAC0001,068246,2007,05,21.4,Y
IDCJAC0001,068246,2007,06,315.4,Y
IDCJAC0001,068246,2007,07,22.2,Y
IDCJAC0001,068246,2007,08,67.6,Y
IDCJAC0001,068246,2007,09,261.0,N
IDCJAC0001,068246,2007,10,10.8,Y
IDCJAC0001,068246,2007,11,164.0,Y
IDCJAC0001,068246,2007,12,97.0,Y
IDCJAC0001,068246,2008,01,58.6,Y
IDCJAC0001,068246,2008,02,388.6,Y
IDCJAC0001,068246,2008,03,37.4,Y
IDCJAC0001,068246,2008,04,65.8,Y
IDCJAC0001,068246,2008,05,6.0,Y
IDCJAC0001,068246,2008,06,93.0,Y
IDCJAC0001,068246,2008,08,32.2,Y
IDCJAC0001,068246,2008,09,86.2,Y
IDCJAC0001,068246,2008,11,48.8,Y
IDCJAC0001,068246,2008,12,120.7,Y
IDCJAC0001,068246,2009,01,8.4,Y
IDCJAC0001,068246,2009,02,102.4,Y
IDCJAC0001,068246,2009,03,32.6,Y
IDCJAC0001,068246,2009,04,139.2,Y
IDCJAC0001,068246,2009,05,30.2,Y
IDCJAC0001,068246,2009,06,115.6,Y
IDCJAC0001,068246,2009,07,56.8,Y
IDCJAC0001,068246,2009,09,21.4,Y
IDCJAC0001,068246,2009,10,130.6,Y
IDCJAC0001,068246,2009,11,71.2,Y
IDCJAC0001,068246,2009,12,73.8,Y
IDCJAC0001,068246,2010,01,57.4,Y
IDCJAC0001,068246,2010,02,176.8,Y
IDCJAC0001,068246,2010,03,102.8,Y
IDCJAC0001,068246,2010,04,45.6,Y
IDCJAC0001,068246,2010,05,96.6,Y
IDCJAC0001,068246,2010,07,72.8,Y
IDCJAC0001,068246,2010,09,110.6,Y
IDCJAC0001,068246,2010,10,89.4,Y
IDCJAC0001,068246,2010,11,176.0,Y
IDCJAC0001,068246,2010,12,135.0,Y
IDCJAC0001,068246,2011,01,60.2,Y
IDCJAC0001,068246,2011,02,38.0,Y
IDCJAC0001,068246,2011,03,450.4,Y
IDCJAC0001,068246,2011,04,72.2,Y
IDCJAC0001,068246,2011,05,100.4,Y
IDCJAC0001,068246,2011,06,53.0,Y
IDCJAC0001,068246,2011,07,149.2,Y
IDCJAC0001,068246,2011,08,73.2,Y
IDCJAC0001,068246,2011,09,72.4,Y
IDCJAC0001,068246,2011,10,137.0,Y
IDCJAC0001,068246,2011,11,167.4,Y
IDCJAC0001,068246,2011,12,67.4,Y
IDCJAC0001,068246,2012,03,186.8,Y
IDCJAC0001,068246,2012,04,82.8,Y
IDCJAC0001,068246,2012,05,9.6,Y
IDCJAC0001,068246,2012,06,102.6,Y
IDCJAC0001,068246,2012,07,42.4,Y
IDCJAC0001,068246,2012,08,3.6,Y
IDCJAC0001,068246,2012,09,13.6,Y
IDCJAC0001,068246,2012,11,24.0,Y
IDCJAC0001,068246,2012,12,41.0,Y
IDCJAC0001,068246,2013,01,169.6,Y
IDCJAC0001,068246,2013,02,152.6,Y
IDCJAC0001,068246,2013,03,62.4,Y
IDCJAC0001,068246,2013,04,111.6,Y
IDCJAC0001,068246,2013,05,105.4,Y
IDCJAC0001,068246,2013,06,317.2,Y
IDCJAC0001,068246,2013,07,34.0,Y
IDCJAC0001,068246,2013,08,13.4,Y
IDCJAC0001,068246,2013,09,0.0,Y
IDCJAC0001,068246,2013,10,9.0,Y
IDCJAC0001,068246,2013,11,229.2,Y
IDCJAC0001,068246,2013,12,75.0,Y
IDCJAC0001,068246,2014,01,60.0,Y
IDCJAC0001,068246,2014,02,63.2,Y
IDCJAC0001,068246,2014,04,56.6,Y
IDCJAC0001,068246,2014,05,9.0,Y
IDCJAC0001,068246,2014,06,43.0,Y
IDCJAC0001,068246,2014,07,4.2,Y
IDCJAC0001,068246,2014,08,275.6,Y
IDCJAC0001,068246,2014,09,60.2,Y
IDCJAC0001,068246,2014,10,33.4,Y
IDCJAC0001,068246,2014,11,46.1,Y
IDCJAC0001,068246,2014,12,177.5,Y
IDCJAC0001,068246,2015,01,143.6,Y
IDCJAC0001,068246,2015,02,146.3,Y
IDCJAC0001,068246,2015,03,55.2,Y
IDCJAC0001,068246,2015,04,313.4,Y
IDCJAC0001,068246,2015,05,53.4,Y
IDCJAC0001,068246,2015,06,78.2,Y
IDCJAC0001,068246,2015,07,39.0,Y
IDCJAC0001,068246,2015,08,261.0,Y
IDCJAC0001,068246,2015,09,65.4,Y
IDCJAC0001,068246,2015,10,33.4,Y
IDCJAC0001,068246,2015,11,71.2,Y
