Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,067105,1994,06,15.4,N
IDCJAC0001,067105,1994,07,15.0,N
IDCJAC0001,067105,1994,08,8.0,N
IDCJAC0001,067105,1994,09,8.2,N
IDCJAC0001,067105,1994,10,13.6,N
IDCJAC0001,067105,1994,11,73.6,Y
IDCJAC0001,067105,1994,12,62.8,Y
IDCJAC0001,067105,1995,01,130.6,Y
IDCJAC0001,067105,1995,02,37.4,Y
IDCJAC0001,067105,1995,03,142.0,Y
IDCJAC0001,067105,1995,04,7.2,Y
IDCJAC0001,067105,1995,05,112.0,Y
IDCJAC0001,067105,1995,06,16.2,Y
IDCJAC0001,067105,1995,07,1.4,Y
IDCJAC0001,067105,1995,08,0.0,Y
IDCJAC0001,067105,1995,09,158.0,Y
IDCJAC0001,067105,1995,10,27.6,Y
IDCJAC0001,067105,1995,11,106.4,Y
IDCJAC0001,067105,1995,12,122.0,Y
IDCJAC0001,067105,1996,01,132.8,Y
IDCJAC0001,067105,1996,02,32.6,Y
IDCJAC0001,067105,1996,03,27.8,Y
IDCJAC0001,067105,1996,04,31.6,Y
IDCJAC0001,067105,1996,05,103.2,Y
IDCJAC0001,067105,1996,06,23.4,Y
IDCJAC0001,067105,1996,07,58.8,Y
IDCJAC0001,067105,1996,08,85.8,Y
IDCJAC0001,067105,1996,09,75.0,Y
IDCJAC0001,067105,1996,10,18.6,N
IDCJAC0001,067105,1996,11,98.6,Y
IDCJAC0001,067105,1996,12,41.4,Y
IDCJAC0001,067105,1997,01,112.2,Y
IDCJAC0001,067105,1997,02,162.2,Y
IDCJAC0001,067105,1997,03,21.4,Y
IDCJAC0001,067105,1997,04,2.2,Y
IDCJAC0001,067105,1997,05,59.2,Y
IDCJAC0001,067105,1997,06,35.2,Y
IDCJAC0001,067105,1997,07,38.0,Y
IDCJAC0001,067105,1997,08,1.0,Y
IDCJAC0001,067105,1997,09,86.4,Y
IDCJAC0001,067105,1997,10,62.4,Y
IDCJAC0001,067105,1997,11,18.0,Y
IDCJAC0001,067105,1997,12,14.6,Y
IDCJAC0001,067105,1998,01,103.8,Y
IDCJAC0001,067105,1998,02,67.2,Y
IDCJAC0001,067105,1998,03,30.2,N
IDCJAC0001,067105,1998,04,87.8,Y
IDCJAC0001,067105,1998,05,168.4,Y
IDCJAC0001,067105,1998,06,68.4,Y
IDCJAC0001,067105,1998,07,57.6,Y
IDCJAC0001,067105,1998,08,159.0,Y
IDCJAC0001,067105,1998,09,36.0,Y
IDCJAC0001,067105,1998,10,22.0,Y
IDCJAC0001,067105,1998,11,82.2,Y
IDCJAC0001,067105,1998,12,21.0,Y
IDCJAC0001,067105,1999,01,122.8,Y
IDCJAC0001,067105,1999,02,156.4,Y
IDCJAC0001,067105,1999,03,29.6,Y
IDCJAC0001,067105,1999,04,98.4,Y
IDCJAC0001,067105,1999,05,19.0,Y
IDCJAC0001,067105,1999,06,43.0,Y
IDCJAC0001,067105,1999,07,105.8,Y
