MonthYear,Station,Station_Type ,Entry_Exit,Trip
Aug-24,Aberdeen  Station,train,Entry,Less than 50
Aug-24,Aberdeen  Station,train,Exit,Less than 50
Aug-24,Adamstown  Station,train,Entry,2585
Aug-24,Adamstown  Station,train,Exit,2391
Aug-24,Albion Park  Station,train,Entry,6919
Aug-24,Albion Park  Station,train,Exit,6181
Aug-24,Allawah  Station,train,Entry,67164
Aug-24,Allawah  Station,train,Exit,59739
Aug-24,Arncliffe  Station,train,Entry,60548
Aug-24,Arncliffe  Station,train,Exit,55107
Aug-24,Artarmon  Station,train,Entry,111611
Aug-24,Artarmon  Station,train,Exit,105967
Aug-24,Ashfield  Station,train,Entry,265232
Aug-24,Ashfield  Station,train,Exit,261463
Aug-24,Asquith  Station,train,Entry,32169
Aug-24,Asquith  Station,train,Exit,27439
Aug-24,Auburn  Station,train,Entry,423316
Aug-24,Auburn  Station,train,Exit,403771
Aug-24,Austinmer  Station,train,Entry,2474
Aug-24,Austinmer  Station,train,Exit,2115
Aug-24,Awaba  Station,train,Entry,432
Aug-24,Awaba  Station,train,Exit,378
Aug-24,Banksia  Station,train,Entry,36632
Aug-24,Banksia  Station,train,Exit,33410
Aug-24,Bankstown  Station,train,Entry,228409
Aug-24,Bankstown  Station,train,Exit,232261
Aug-24,Barangaroo  Station,metro,Entry,121540
Aug-24,Barangaroo  Station,metro,Exit,141686
Aug-24,Bardwell Park  Station,train,Entry,26298
Aug-24,Bardwell Park  Station,train,Exit,24049
Aug-24,Bargo  Station,train,Entry,1252
Aug-24,Bargo  Station,train,Exit,1160
Aug-24,Bathurst  Station,train,Entry,2543
Aug-24,Bathurst  Station,train,Exit,1770
Aug-24,Beecroft  Station,train,Entry,34240
Aug-24,Beecroft  Station,train,Exit,33012
Aug-24,Bell  Station,train,Entry,76
Aug-24,Bell  Station,train,Exit,82
Aug-24,Bella Vista  Station,metro,Entry,74904
Aug-24,Bella Vista  Station,metro,Exit,72632
Aug-24,Bellambi  Station,train,Entry,2713
Aug-24,Bellambi  Station,train,Exit,2294
Aug-24,Belmore  Station,train,Entry,55889
Aug-24,Belmore  Station,train,Exit,50283
Aug-24,Berala  Station,train,Entry,45389
Aug-24,Berala  Station,train,Exit,44489
Aug-24,Beresfield  Station,train,Entry,3844
Aug-24,Beresfield  Station,train,Exit,3368
Aug-24,Berowra  Station,train,Entry,27136
Aug-24,Berowra  Station,train,Exit,24926
Aug-24,Berry  Station,train,Entry,1770
Aug-24,Berry  Station,train,Exit,1726
Aug-24,Beverly Hills  Station,train,Entry,45850
Aug-24,Beverly Hills  Station,train,Exit,41023
Aug-24,Bexley North  Station,train,Entry,31025
Aug-24,Bexley North  Station,train,Exit,28346
Aug-24,Birrong  Station,train,Entry,22711
Aug-24,Birrong  Station,train,Exit,21624
Aug-24,Blackheath  Station,train,Entry,5051
Aug-24,Blackheath  Station,train,Exit,4835
Aug-24,Blacktown  Station,train,Entry,410718
Aug-24,Blacktown  Station,train,Exit,421480
Aug-24,Blaxland  Station,train,Entry,10723
Aug-24,Blaxland  Station,train,Exit,9929
Aug-24,Bomaderry  Station,train,Entry,7317
Aug-24,Bomaderry  Station,train,Exit,6140
Aug-24,Bombo  Station,train,Entry,916
Aug-24,Bombo  Station,train,Exit,760
Aug-24,Bondi Junction  Station,train,Entry,531005
Aug-24,Bondi Junction  Station,train,Exit,535597
Aug-24,Booragul  Station,train,Entry,706
Aug-24,Booragul  Station,train,Exit,632
Aug-24,Bowral  Station,train,Entry,5543
Aug-24,Bowral  Station,train,Exit,5183
Aug-24,Branxton  Station,train,Entry,215
Aug-24,Branxton  Station,train,Exit,132
Aug-24,Broadmeadow  Station,train,Entry,20591
Aug-24,Broadmeadow  Station,train,Exit,18236
Aug-24,Bullaburra  Station,train,Entry,1274
Aug-24,Bullaburra  Station,train,Exit,1176
Aug-24,Bulli  Station,train,Entry,3945
Aug-24,Bulli  Station,train,Exit,3370
Aug-24,Bundanoon  Station,train,Entry,361
Aug-24,Bundanoon  Station,train,Exit,273
Aug-24,Burradoo  Station,train,Entry,246
Aug-24,Burradoo  Station,train,Exit,267
Aug-24,Burwood  Station,train,Entry,532513
Aug-24,Burwood  Station,train,Exit,546442
Aug-24,Cabramatta  Station,train,Entry,207478
Aug-24,Cabramatta  Station,train,Exit,204948
Aug-24,Camellia  Station,train,Entry,3829
Aug-24,Camellia  Station,train,Exit,2782
Aug-24,Campbelltown  Station,train,Entry,138456
Aug-24,Campbelltown  Station,train,Exit,137442
Aug-24,Campsie  Station,train,Entry,171626
Aug-24,Campsie  Station,train,Exit,169858
Aug-24,Canley Vale  Station,train,Entry,66358
Aug-24,Canley Vale  Station,train,Exit,61209
Aug-24,Canterbury  Station,train,Entry,55748
Aug-24,Canterbury  Station,train,Exit,50591
Aug-24,Cardiff  Station,train,Entry,20284
